id,produto,categoria,preco,quantidade,data_venda,vendedor_id,regiao
1,Notebook,Eletrônicos,2500.00,2,2024-01-15,101,Sul
2,Mouse,Eletrônicos,50.00,5,2024-01-16,102,Norte
3,Teclado,Eletrônicos,150.00,3,2024-01-17,101,Sul
4,Monitor,Eletrônicos,800.00,1,2024-01-18,103,Sudeste
5,Cadeira,Móveis,400.00,2,2024-01-19,104,Centro-Oeste
6,Mesa,Móveis,600.00,1,2024-01-20,102,Norte
7,Smartphone,Eletrônicos,1200.00,3,2024-01-21,105,Nordeste
8,Tablet,Eletrônicos,800.00,2,2024-01-22,101,Sul
9,Impressora,Eletrônicos,300.00,1,2024-01-23,103,Sudeste
10,Sofá,Móveis,1500.00,1,2024-01-24,104,Centro-Oeste
11,Notebook,Eletrônicos,2800.00,1,2024-02-01,102,Norte
12,Mouse,Eletrônicos,45.00,8,2024-02-02,105,Nordeste
13,Teclado,Eletrônicos,180.00,2,2024-02-03,101,Sul
14,Monitor,Eletrônicos,900.00,2,2024-02-04,103,Sudeste
15,Cadeira,Móveis,450.00,3,2024-02-05,104,Centro-Oeste
16,Mesa,Móveis,700.00,1,2024-02-06,102,Norte
17,Smartphone,Eletrônicos,1100.00,4,2024-02-07,105,Nordeste
18,Tablet,Eletrônicos,750.00,2,2024-02-08,101,Sul
19,Impressora,Eletrônicos,350.00,1,2024-02-09,103,Sudeste
20,Sofá,Móveis,1600.00,1,2024-02-10,104,Centro-Oeste
